Mixi,161118,56.72099995613098
Ibotta,3964,58.04800009727478
NHNEnt,177484,7.097999811172485
LINE,180642,64.05299997329712
Pepabo,170716,64.16299986839294
ATeam,15486,63.180999994277954
Ponos,22906,63.88199996948242
Fincon,162394,62.992999792099
ComicSmart,14468,63.6010000705719
Eq,17310,67.11100006103516
EAJapan,17774,62.930999994277954
Mixi,161118,56.549999952316284
Ibotta,3964,57.20599985122681
NHNEnt,177484,6.068000078201294
LINE,180642,56.39399981498718
Pepabo,170716,56.051000118255615
ATeam,15486,55.41100001335144
Ponos,22906,55.396000146865845
Fincon,162394,55.42700004577637
ComicSmart,14468,56.44199991226196
Eq,17310,56.83099985122681
EAJapan,17774,56.28500008583069
Uber,7336,65.92600011825562
Xyrality,3066,1.4040000438690186
Mixi,161118,56.50399994850159
Ibotta,3964,56.56599998474121
NHNEnt,177484,7.504000186920166
LINE,180642,56.76799988746643
Pepabo,170716,56.14500021934509
ATeam,15486,56.519999980926514
Ponos,22906,57.704999923706055
Fincon,162394,56.269999980926514
ComicSmart,14468,56.64399981498718
Eq,17310,56.94000005722046
EAJapan,17774,57.22099995613098
Uber,7336,57.407999992370605
xyrality,3066,56.48800015449524
Mixi,161118,56.72199988365173
Ibotta,3964,56.81599998474121
NHNEnt,177484,6.052999973297119
LINE,180642,56.78399991989136
Pepabo,170716,57.39299988746643
ATeam,15486,57.204999923706055
Ponos,22906,58.4060001373291
Fincon,162394,59.20300006866455
ComicSmart,14468,57.532999992370605
Eq,17310,56.36300015449524
EAJapan,17774,58.70299983024597
Uber,7336,58.28200006484985
xyrality,3066,58.236000061035156
TuneBIDemo,999999,5.069999933242798
TuneBIDemo,999999,5.413000106811523
Mixi,161118,56.020999908447266
Ibotta,3964,57.17400002479553
NHNEnt,177484,61.08999991416931
LINE,180642,56.269999980926514
Pepabo,170716,57.03399991989136
ATeam,15486,55.92699980735779
Ponos,22906,55.81699991226196
Fincon,162394,56.31599998474121
ComicSmart,14468,57.736000061035156
Eq,17310,57.67400002479553
EAJapan,17774,57.56399989128113
Uber,7336,57.00200009346008
xyrality,3066,56.26899981498718
Xome,182112,56.92500019073486
HostelWorld,8816,57.56400012969971
TheNewYorkTimes,16948,6.145999908447266
AeriaGames,3080,56.84699988365173
Nexon,186576,64.41200017929077
Mixi,161118,60.5
Ibotta,3964,59.0479998588562
NHNEnt,177484,59.967000007629395
LINE,180642,60.373000144958496
Pepabo,170716,59.56100010871887
ATeam,15486,58.687999963760376
Ponos,22906,58.562999963760376
Fincon,162394,59.1560001373291
ComicSmart,14468,58.688000202178955
Eq,17310,58.111000061035156
EAJapan,17774,59.27999997138977
Uber,7336,57.31499981880188
xyrality,3066,58.735000133514404
Xome,182112,58.26699995994568
HostelWorld,8816,59.5460000038147
TheNewYorkTimes,16948,7.207000017166138
AeriaGames,3080,60.35699987411499
Nexon,186576,58.28200006484985
FutureGames,10468,66.75300002098083
Gamevil,10034,69.3420000076294
BetaTest,3964,18.361000061035156
BetaTest,3964,3952.2279999256134
OpenTable,5490,0.8420000076293945
OpenTable,5490,0.7180001735687256
OpenTable,5490,2357.676999807358
OpenTable,5490,58.18899989128113
BetaTest,5490,79.96600008010864
BetaTest,5490,80.38700008392334
BetaTest,5490,49.15599989891052
BetaTest,5490,76.97099995613098
BetaTest,5490,0.6089999675750732
BetaTest,170716,1.060999870300293
BetaTest,170716,0.7179999351501465
BetaTest,170716,3.0889999866485596
BetaTest,22906,8.689000129699707
OpenTable,5490,1882.34099984169
OpenTable,5490,10.687999963760376
OpenTable,5490,1168.5150001049042
BetaTest,3964,85.75099992752075
BetaTest,3964,12.098000049591064
BetaTest,3964,11.708999872207642
BetaTest,3964,78.18999981880188
BetaTest,3964,84.38800001144409
BetaTest,3964,83.80899977684021
BetaTest,3964,82.40299987792969
BetaTest,3964,0.4479999542236328
BetaTest,3964,83.3199999332428
BetaTest,3964,31.15000009536743
BetaTest,3964,30.901999950408936
BetaTest,3964,0.874000072479248
BetaTest,3964,0.8610000610351562
BetaTest,3964,0.7799999713897705
BetaTest,3964,1.5130000114440918
BetaTest,3964,0.7960000038146973
BetaTest,3964,11.639999866485596
BetaTest,3964,48.40000009536743
BetaTest,3964,32.76099991798401
BetaTest,3964,0.5770001411437988
BetaTest,3964,0.5930001735687256
BetaTest,3964,61.09700012207031
AmericanWell,16778,68.04299998283386
AmericanWell,16778,60.98400020599365
Crowdstar,1693,4.618000030517578
Crowdstar,1693,60.426000118255615
BetaTest,1693,0.437000036239624
BetaTest,1693,328.21399998664856
BetaTest,3964,74.05999994277954
BetaTest,3964,57.60000014305115
BetaTest,3964,56.30800008773804
BetaTest,3964,56.50600004196167
BetaTest,3964,92.17599987983704
BetaTest,3964,123.39900016784668
Uber,7336,65.8050000667572
Twitter,20954,72.10000014305115
HostelWorld,8816,62.626999855041504
OLX,189704,74.24900007247925
ZQGame,9290,71.67000007629395
TheNewyorkTimes,16948,79.03900003433228
NHNStudio629,186648,61.02499985694885
Xyrality,3066,60.67300009727478
MIXI,161118,68.77099990844727
Ibotta,3964,62.75
BetaTest,forTesting,67.33599996566772
GSShop,19082,67.82100009918213
CJMall,20848,97.63499999046326
Memebox,170596,67.92799997329712
NHNEnt,177484,62.27300000190735
Nexon,186576,59.46000003814697
AmericanWell,16778,59.242000102996826
LINE,180642,60.194000005722046
Pepabo,170716,60.34299993515015
ATeam,15486,60.644999980926514
Ponos,22906,59.894999980926514
Fincon,162394,59.740999937057495
ComicSmart,14468,60.12599992752075
Eq,17310,60.42300009727478
